writer_id,proposition_id,proposition_number,made_edits,edit_ratio,edit_distance
f5b7de9c5ab96867,386,1,True,0.9602815485168427,78
f5b7de9c5ab96867,81,2,True,0.9866939611054247,22
f5b7de9c5ab96867,126,3,False,0.0,0
ba9e5ccc2b1a2a5c,171,1,False,0.0,0
ba9e5ccc2b1a2a5c,87,2,False,0.0,0
ba9e5ccc2b1a2a5c,353,3,False,0.0,0
874406648de9be6f,187,1,False,0.0,0
874406648de9be6f,230,2,False,0.0,0
874406648de9be6f,371,3,False,0.0,0
63955cfc81ac9707,261,1,False,0.0,0
63955cfc81ac9707,173,2,False,0.0,0
63955cfc81ac9707,346,3,False,0.0,0
f179460894c13e9d,371,1,True,0.7221476510067114,414
f179460894c13e9d,41,2,False,0.0,0
f179460894c13e9d,392,3,True,0.9558472553699284,73
c0479289b7268f15,193,1,True,0.26974267968056787,782
c0479289b7268f15,242,2,False,0.0,0
c0479289b7268f15,144,3,False,0.0,0
5b8b61550df1348f,25,1,True,0.9771225216065074,45
5b8b61550df1348f,392,2,False,0.0,0
5b8b61550df1348f,88,3,False,0.0,0
e68bccc0214385ad,248,1,False,0.0,0
e68bccc0214385ad,230,2,False,0.0,0
e68bccc0214385ad,360,3,False,0.0,0
fad939c6b7f17348,390,1,True,0.9972987574284171,3
fad939c6b7f17348,339,2,True,0.9641025641025641,42
fad939c6b7f17348,333,3,True,0.9981981981981982,2
12485141aab0b060,51,1,False,0.0,0
12485141aab0b060,88,2,False,0.0,0
12485141aab0b060,343,3,False,0.0,0
c6036985f03524d2,104,1,True,0.8334357713583282,257
c6036985f03524d2,333,2,False,0.0,0
c6036985f03524d2,357,3,False,0.0,0
44956929bfc270ff,102,1,False,0.0,0
44956929bfc270ff,109,2,False,0.0,0
44956929bfc270ff,387,3,False,0.0,0
b1b6f034d771580e,358,1,False,0.0,0
b1b6f034d771580e,218,2,False,0.0,0
b1b6f034d771580e,390,3,False,0.0,0
a8c34a901c7aa7cf,20,1,False,0.0,0
a8c34a901c7aa7cf,360,2,False,0.0,0
a8c34a901c7aa7cf,52,3,False,0.0,0
1cc1ef1e8e7d95fe,374,1,False,0.0,0
1cc1ef1e8e7d95fe,51,2,False,0.0,0
1cc1ef1e8e7d95fe,325,3,False,0.0,0
7c918d8828116b97,339,1,False,0.0,0
7c918d8828116b97,298,2,False,0.0,0
7c918d8828116b97,85,3,False,0.0,0
8a49bb281c83a6e2,156,1,False,0.0,0
8a49bb281c83a6e2,369,2,False,0.0,0
8a49bb281c83a6e2,345,3,True,0.9501625135427952,69
a51a7b4940bf77c9,264,1,False,0.0,0
a51a7b4940bf77c9,384,2,False,0.0,0
a51a7b4940bf77c9,89,3,False,0.0,0
9bb415124f949908,344,1,False,0.0,0
9bb415124f949908,201,2,False,0.0,0
9bb415124f949908,22,3,False,0.0,0
0c3f3a7adf5caa03,176,1,True,0.9953964194373401,9
0c3f3a7adf5caa03,358,2,False,0.0,0
0c3f3a7adf5caa03,12,3,False,0.0,0
7fc9f84954a95d66,20,1,False,0.0,0
7fc9f84954a95d66,370,2,False,0.0,0
7fc9f84954a95d66,104,3,True,0.8238668961560528,307
fedb5cff870808bf,186,1,False,0.0,0
fedb5cff870808bf,236,2,False,0.0,0
fedb5cff870808bf,243,3,False,0.0,0
af68f00f97122fca,122,1,False,0.0,0
af68f00f97122fca,114,2,False,0.0,0
af68f00f97122fca,261,3,False,0.0,0
0ab8ba139f0b65b2,345,1,False,0.0,0
0ab8ba139f0b65b2,378,2,False,0.0,0
0ab8ba139f0b65b2,41,3,False,0.0,0
632bec041ebc7dd9,174,1,True,0.8989225243714726,197
632bec041ebc7dd9,346,2,True,1.0,0
632bec041ebc7dd9,184,3,False,0.0,0
1a0b76f9be441f7b,250,1,True,0.9473145780051151,103
1a0b76f9be441f7b,264,2,False,0.0,0
1a0b76f9be441f7b,360,3,False,0.0,0
704a13b4272c5cfb,357,1,False,0.0,0
704a13b4272c5cfb,47,2,False,0.0,0
704a13b4272c5cfb,109,3,False,0.0,0
16c7d0d6485cb92b,372,1,True,1.0,0
16c7d0d6485cb92b,61,2,False,0.0,0
16c7d0d6485cb92b,369,3,False,0.0,0
6775d518a39453b3,201,1,False,0.0,0
6775d518a39453b3,193,2,False,0.0,0
6775d518a39453b3,51,3,False,0.0,0
482fac5b0ec4ba1f,236,1,False,0.0,0
482fac5b0ec4ba1f,144,2,False,0.0,0
482fac5b0ec4ba1f,89,3,False,0.0,0
83b939f2126ddae7,51,1,True,0.945487860742098,119
83b939f2126ddae7,356,2,False,0.0,0
83b939f2126ddae7,360,3,False,0.0,0
5e83574547384835,231,1,False,0.0,0
5e83574547384835,200,2,False,0.0,0
5e83574547384835,230,3,False,0.0,0
9b3da1daf80ae50c,333,1,False,0.0,0
9b3da1daf80ae50c,85,2,False,0.0,0
9b3da1daf80ae50c,248,3,False,0.0,0
6d9eb0b11f022c38,230,1,False,0.0,0
6d9eb0b11f022c38,375,2,False,0.0,0
6d9eb0b11f022c38,370,3,False,0.0,0
2ca8dc8fd3f4aab0,243,1,False,0.0,0
2ca8dc8fd3f4aab0,248,2,False,0.0,0
2ca8dc8fd3f4aab0,358,3,False,0.0,0
f6516f61f5d8ede1,344,1,False,0.0,0
f6516f61f5d8ede1,261,2,True,0.9578030810448761,47
f6516f61f5d8ede1,201,3,False,0.0,0
fa635dfa83b7b06d,333,1,False,0.0,0
fa635dfa83b7b06d,52,2,True,0.9271028037383178,156
fa635dfa83b7b06d,46,3,False,0.0,0
be9a68aa3a01ed60,390,1,False,0.0,0
be9a68aa3a01ed60,360,2,False,0.0,0
be9a68aa3a01ed60,54,3,False,0.0,0
b3c8982ed8af1b81,85,1,True,0.7761194029850746,379
b3c8982ed8af1b81,221,2,True,0.8533171028606208,202
b3c8982ed8af1b81,249,3,True,0.9896795219989136,19
df822e496f5960d3,231,1,False,0.0,0
df822e496f5960d3,375,2,False,0.0,0
df822e496f5960d3,390,3,True,0.9314763231197771,123
ed90209f03c84f0e,18,1,False,0.0,0
ed90209f03c84f0e,339,2,False,0.0,0
ed90209f03c84f0e,12,3,False,0.0,0
1540f3d0771d712c,251,1,False,0.0,0
1540f3d0771d712c,181,2,False,0.0,0
1540f3d0771d712c,384,3,False,0.0,0
210b6f8e4e78218a,308,1,False,0.0,0
210b6f8e4e78218a,218,2,True,0.9417613636363636,81
210b6f8e4e78218a,298,3,True,0.9572192513368984,78
9821ee3e9a634677,393,1,True,0.9487785657998424,62
9821ee3e9a634677,218,2,True,0.7924528301886793,302
9821ee3e9a634677,82,3,False,0.0,0
9a0eb44eb22380c8,374,1,False,0.0,0
9a0eb44eb22380c8,114,2,True,0.948376353039134,124
9a0eb44eb22380c8,41,3,True,0.8400435255712732,290
4b414538f293f02e,393,1,False,0.0,0
4b414538f293f02e,25,2,False,0.0,0
4b414538f293f02e,392,3,False,0.0,0
e776998891df3b59,249,1,True,0.9525316455696202,67
e776998891df3b59,181,2,True,0.9959316517493898,4
e776998891df3b59,129,3,False,0.0,0
ed39fa17fdf94559,89,1,False,0.0,0
ed39fa17fdf94559,357,2,False,0.0,0
ed39fa17fdf94559,384,3,False,0.0,0
66cd23ec4e4e5f66,393,1,False,0.0,0
66cd23ec4e4e5f66,193,2,False,0.0,0
66cd23ec4e4e5f66,339,3,True,1.0,0
137adae555f05ea0,47,1,True,0.9500805152979066,92
137adae555f05ea0,128,2,False,0.0,0
137adae555f05ea0,393,3,True,0.9891891891891892,20
29fa0d86e92b97a0,356,1,False,0.0,0
29fa0d86e92b97a0,173,2,True,0.9723479135243841,55
29fa0d86e92b97a0,176,3,False,0.0,0
32241dbc8c885247,250,1,True,0.9891891891891892,16
32241dbc8c885247,85,2,False,0.0,0
32241dbc8c885247,389,3,False,0.0,0
ec8ee7e1fdc4d346,392,1,False,0.0,0
ec8ee7e1fdc4d346,256,2,False,0.0,0
ec8ee7e1fdc4d346,181,3,False,0.0,0
d739d7be01a36385,378,1,False,0.0,0
d739d7be01a36385,231,2,False,0.0,0
d739d7be01a36385,61,3,False,0.0,0
36da5a8f1cfc1e9a,261,1,False,0.0,0
36da5a8f1cfc1e9a,226,2,False,0.0,0
36da5a8f1cfc1e9a,370,3,False,0.0,0
e1dac24ff42ed0e8,384,1,False,0.0,0
e1dac24ff42ed0e8,268,2,False,0.0,0
e1dac24ff42ed0e8,201,3,False,0.0,0
87f6d4a86d10c65f,46,1,False,0.0,0
87f6d4a86d10c65f,364,2,False,0.0,0
87f6d4a86d10c65f,81,3,False,0.0,0
2e278f6e67b5b594,20,1,True,0.8147120055517002,266
2e278f6e67b5b594,364,2,True,1.0,0
