writer_id,extreme_more,moderate_more,confidence_more,confidence_less,knowledge_more,knowledge_less,importance_more,importance_less,relevance_more,relevance_less,clarity_more,clarity_less,formality_more,formality_less,informative_more,informative_less,originality_more,originality_less,friendliness_more,friendliness_less,optimism_more,optimism_less,community_more,community_less,open_views_more,open_views_less,hope_more,hope_less,excitement_more,excitement_less,fear_more,fear_less,disgust_more,disgust_less,anger_more,anger_less,age_older,age_younger,gender_different,race_different,english_better,english_worse,education_more,education_less,income_higher,income_lower,politics_party_different,politics_extreme,politics_moderate
d42102764424c640,26,39,66,1,100,0,74,16,100,0,100,0,95,2,100,0,62,8,58,17,53,47,68,26,36,49,51,48,38,34,26,27,28,22,19,13,70,40,0,0,100,0,100,0,63,3,0,4,52
11c8668ef2dba82e,0,100,100,0,100,0,51,49,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,1,99,0,100,1,51,55,0,100,0,100,0,100,49,48,0,0,100,0,100,1,50,50,0,0,68
76b03c675fe68e64,63,89,90,37,86,25,79,16,73,26,75,37,66,65,72,65,82,44,87,47,70,72,43,73,43,68,61,56,72,39,47,72,45,75,43,81,70,46,38,69,95,35,79,40,40,71,77,38,59
b952d33554a704c1,2,3,2,0,1,0,0,43,48,0,92,2,93,0,49,46,48,48,48,47,48,49,71,18,74,76,49,49,49,49,48,49,49,49,49,48,1,0,0,0,0,0,0,0,1,0,52,51,49
a17ae38637dc55ec,0,60,58,1,57,7,26,22,75,7,92,0,52,43,79,15,66,33,63,33,63,35,57,38,57,39,54,43,56,44,0,57,2,56,0,53,40,36,0,0,56,36,55,37,40,37,32,1,2
a29a563782dd6356,54,57,60,47,55,53,49,53,56,48,57,52,57,41,65,52,55,55,55,61,48,59,56,62,48,63,40,53,44,73,37,43,37,37,35,33,46,55,52,47,54,71,76,66,71,61,66,60,67
2b216d7c397bf89a,10,61,66,17,51,7,55,30,60,6,65,3,70,6,63,5,28,7,38,9,50,50,62,9,60,40,50,50,30,29,40,40,19,30,39,45,50,50,50,10,65,14,45,40,50,50,46,25,36
21ce1532ed0e484e,70,70,70,71,70,50,70,33,73,23,68,22,77,10,79,15,78,16,77,14,89,16,84,16,86,19,79,15,83,15,25,56,15,76,17,72,19,85,10,86,78,12,77,16,81,15,10,92,100
99d0dc124d99386e,30,71,55,28,68,36,20,27,77,25,83,17,84,11,63,38,65,38,81,11,52,39,68,32,77,45,87,51,75,46,7,43,21,26,30,24,29,23,9,14,12,11,21,17,11,8,34,25,13
7fc9f84954a95d66,98,96,95,2,98,8,93,0,99,51,100,98,96,93,99,98,100,98,97,97,98,97,97,96,97,95,94,95,98,96,91,91,95,89,91,93,89,73,86,53,95,96,98,96,96,98,97,51,87
