writer_id,extreme_more,moderate_more,informative_more,informative_less,clarity_more,clarity_less,open_views_more,open_views_less
5e299d8c2e9dc4000be0fde0,0,0,100,0,100,0,100,0
5d352f8bb02857001963539a,20,32,66,42,63,31,0,36
62964667f95cf45b64e2c4a2,23,60,80,9,77,17,71,18
57acc170c6bab4000172a42e,18,54,71,50,65,37,66,52
610484ad8ffb67a43c6a2121,0,0,0,0,0,0,0,0
5962a9280b835400010a7617,1,0,97,3,99,5,44,5
615ca8f6c9c5f73dcf4654b3,0,0,0,0,0,0,0,0
66a3d330fbd20e8283f73bb7,0,0,50,0,68,0,0,0
66a18e8231c042974d7bd880,72,76,100,29,90,32,62,51
6096737b818f6637da9e995f,2,42,1,42,3,4,4,4
606c2136f9fac4fb23f21934,0,0,100,0,100,0,0,0
5f859da7c823900253085c48,48,67,68,63,48,32,67,35
613d0d7d4dbf6d2bbad3f3e9,29,55,81,16,97,10,65,33
675ff5de281b3a702e8b9ef6,0,72,100,0,99,0,49,12
5cb7852e044ae900011ff74e,20,60,65,40,80,14,50,50
5dac63da21420b0014a509c1,23,24,75,20,87,14,50,50
5a21aabb2b98bc0001a67c65,7,27,80,4,86,4,50,48
615a04685ccd2763823852f7,7,47,83,8,76,5,28,10
66e4906547365a7208341b04,24,23,79,23,99,2,45,58
63d13d25db60097f680bc23e,0,25,100,0,90,0,30,0
677679abb18dcd238d622c9d,49,51,57,6,64,3,62,12
66d84c0c7923498083377622,40,87,77,11,11,15,58,9
63065ded8690bdb1904d9f52,23,67,96,0,74,11,70,10
627a659dc19a74aab841d292,46,45,100,0,100,0,52,9
5efb4cfd797e7108c3823ae5,34,60,70,26,80,13,40,28
6105632654baeca8987f0b96,21,39,94,0,97,0,45,13
5ea0af27b3b90d0a92cc71cc,1,30,75,75,80,5,40,40
607d6e86f96c147cf2b3223c,0,45,90,0,90,0,35,25
5ce5a99c0af4f10015c5b6cf,83,47,98,1,100,0,82,5
6110f6170e61781607d7af23,52,78,88,22,89,9,91,46
6152f73a30aafa46c799b32f,58,62,100,0,100,0,50,0
671aa35d6eb9ae1f6a668144,71,67,63,44,55,62,62,60
66bbaad329935bcfa6110d45,60,80,80,20,90,20,80,20
615845566d2ac3e43b25c28c,15,60,80,5,92,0,59,10
5b0f27321e55760001b9a8a5,22,57,64,18,61,22,41,19
5f29e28891ec7717cd0cc69b,62,9,83,26,85,18,13,64
5f2e74f69cf4ab1eca471088,0,49,100,0,100,0,51,48
65b819d036c983737c87e6dc,67,100,100,0,100,0,75,0
5e51dc7483c96c2148353e25,31,87,91,2,80,4,44,56
671e512cf1a3c214f9eb5f1f,25,50,75,0,90,0,60,0
6772eff8639aab095a935a05,0,0,72,0,91,0,49,1
6917114e4409f9085fcafa86,13,51,83,12,83,10,57,49
66d045a6b838b2a1ff99653a,70,40,80,29,85,9,65,10
63ea5d2112c8e2798e940e97,13,75,89,10,51,0,80,11
5e3019c0b5ba77016e2bcaf4,0,0,64,0,69,0,0,0
5e74f8c002c79b0464a51925,11,54,72,19,76,5,50,50
5f59ef96cba71001b8efcb0c,0,28,100,0,83,0,17,12
5a4a078399311d0001df5ba7,21,37,94,3,100,0,33,32
5c87cdad4fd379001424aaed,0,0,0,0,90,0,0,0
63d14182ea5d1b54840bc1e6,50,35,100,5,100,0,95,25
5da099021bab99001257d793,85,53,56,22,81,37,48,67
67657358c501c75c0fedaadc,59,68,76,23,81,15,73,8
67689732518a9500d279ab7f,0,20,31,0,47,0,13,0
674547704d6adcc40d2874a5,0,46,79,0,95,0,73,0
6656119c51d601a4abe8d5e9,80,60,60,0,80,0,50,30
5dae1520eeac2100152778a9,5,9,72,9,75,17,15,19
66afa4fe7506aa2682cd7f67,17,13,83,0,79,0,0,51
5dd3cfb6c5fa303bb64fe22f,15,80,100,0,100,0,65,10
63e51c201c0000d37060d920,26,65,82,11,69,8,31,52
63f77f79278126e103659cf4,30,65,90,10,100,0,70,40
5d963188ed650700146ba4b6,0,6,4,2,65,0,22,9
61027b3439bbe884fddc590c,2,4,3,0,5,0,11,4
5c87790e4b0de20001352297,13,60,80,9,85,2,57,12
5bb600dc5df2870001ad39a2,14,18,17,7,30,2,15,23
62e94bce63b1acd1a52c4e07,50,63,62,41,89,17,63,50
67c8c28fccf665e3c35c44ce,82,84,85,11,87,5,76,5
63d3f951dd046a4bc2b9cea9,0,68,40,0,100,0,47,11
67e3af773eb23823fcdff620,23,66,59,18,62,18,23,23
5d542877defe1f000169c7ca,23,26,66,23,80,1,76,18
6071933c3c4ea940e3e2f175,49,63,85,3,3,2,2,2
68a5f9dbdea49d475472a2e2,0,86,100,0,89,0,58,19
6610feb47a58c90ed439d79d,22,59,80,15,80,15,73,11
60006a6a784be00d525ad974,5,30,80,20,90,0,55,15
5e918309b3f91e4bb747a462,36,63,79,10,80,10,76,14
6763f5c0f664e455a22d4071,40,50,70,30,80,5,50,50
5ef91b4a9d934269f7a2d09a,13,36,70,14,80,5,51,8
5eb33bad3ce6e6129e9f9f5b,20,90,90,5,100,0,40,60
62e4fb6ad37e7941bc6dda4f,14,19,77,21,77,7,51,51
5c9290a87f27410016d7c399,20,20,100,17,82,10,33,14
615ec4f34cb81d7e58fa144c,5,54,80,2,53,5,45,34
63ced2426c35977ea677c720,35,55,85,10,90,10,50,25
601a86dd7ac4f02ca520ef38,0,0,100,0,100,0,70,0
665091628fea43587cf54ec5,35,62,77,15,84,8,68,9
6769ca30dda9131a6c8a92cb,60,65,80,26,78,21,51,48
66cca91d13a37676f8d8453e,8,10,15,13,56,0,10,6
5f7750471fcf840f542f6081,19,51,83,28,70,53,28,43
60efd8e0434fa5c5fdad1620,84,64,98,7,98,7,72,29
65dde169a5400071ec943bc8,40,30,100,0,69,0,76,0
5afbf41dd1a03d0001aad64d,0,0,53,0,65,0,48,0
5e35373e1ddb124e6c306747,5,19,90,0,92,0,47,29
67619ae5b0f40519f6c31912,20,20,70,0,80,0,0,15
6654b23d4f40bedb52200a7f,10,50,90,10,80,10,90,10
5c391d5546e3960001c10f25,22,22,85,18,88,9,52,52
664e381ed2536b7b8d8dbbb0,37,34,67,12,67,12,14,15
66e40dd900d072109722b51d,50,49,100,0,99,0,100,0
5e1b167028c70234ecb478bf,10,0,30,0,50,0,0,10
663d68e807640657499d183b,29,78,72,13,78,18,59,37
65b426c6dc509dc3862af558,0,0,71,0,87,0,52,0
5e64fc338ebdaf26e332aec0,50,59,100,0,85,0,50,50
66ba0921639818e46f5c92e3,22,75,63,1,70,8,67,23
63f8705ae362b217290d08c2,39,58,70,23,67,22,62,27
5d4d9ea8c088850019ec5b32,87,56,99,0,87,0,75,73
5e8753cc28aacd3abe3bc37a,0,0,40,0,55,0,0,0
5ea9a6a68db51d0dfd2edfe2,35,50,60,24,76,15,50,38
6661c9ae13d2c1b196d73a43,46,49,68,16,76,13,57,10
60a83dbee5c20de028a5a9a6,0,0,25,0,0,0,0,0
68a75fa6097c40086faa3909,10,70,70,10,80,10,50,20
62853f0fcc7f1334c7f965f0,15,77,79,12,90,12,85,12
668d34e97ce6200f807aeaaa,1,100,84,0,100,12,100,0
5fba520e6c3b2e9c74d36273,10,45,71,1,87,1,60,29
5a453d59b77a5000014a85c7,3,51,70,21,74,17,45,48
5c5243d45acab700012608c7,39,53,68,40,75,15,61,43
605780dbc19e21b7b72c8104,20,20,50,10,70,0,50,50
64df85e63deb637518043407,20,50,50,80,100,0,53,8
55cf6a7b34e9060005e56ca2,0,6,96,0,99,0,19,50
60fd1f3510ad12e40aa95564,5,66,88,8,100,100,75,1
6763fa0e105ebdeec08d4411,50,80,71,0,100,0,63,30
5d35d574ed541e00194bbbd2,0,15,87,8,50,0,49,48
6767f345862c232444c8161a,8,94,100,35,100,0,63,0
